name,type,size
config,file,130
description,file,73
HEAD,file,23
applypatch-msg.sample,file,478
commit-msg.sample,file,896
fsmonitor-watchman.sample,file,4726
post-update.sample,file,189
pre-applypatch.sample,file,424
pre-commit.sample,file,1643
pre-merge-commit.sample,file,416
pre-push.sample,file,1374
pre-rebase.sample,file,4898
pre-receive.sample,file,544
prepare-commit-msg.sample,file,1492
push-to-checkout.sample,file,2783
update.sample,file,3650
index,file,1232
exclude,file,240
d88847afdd5ab15770ad0631bbac0e1909d71a,file,851
4e127228aa30f23c2acdd6c9bf56b5643a0163,file,3655
d6dc6dd2b72b5f8f872de3c01e166eb9712f71,file,236
1a42957da740593ea50e2cef9d00667f33e3a9,file,826
afbf92f030b4ac420bf1e36b2002718486cd34,file,847
e796f63b31a7ec1fe4e048bbb38191a8341d28,file,853
94f2d3ca8910b2038a763e2583d9de162e79ee,file,813
eb9c266ae5e94ef82b5690def4e7dadb6b1b77,file,831
51a795cc1c0c685d701ae343a762c4b5fcced7,file,1006
f49473479236ade5f6998101bc21175d5da748,file,166
4818ab431ffbba3f38bb43d7d39c1fc67df453,file,112
844b5d072432058eddcc89a609ac21061aa4be,file,717
ff04cf350806c68f8a66bbd0edf4e9ee9d4dfa,file,215
02ec77472c98b83588ac69fbeec9cc35cc5b48,file,714
6a08e79834d9b915fb78b119be5e9981906235,file,125
758ea310596e274cc32de48b57708752525a20,file,82
9de29bb2d1d6434b8b29ae775ad8c2e48c5391,file,15
da15c4494adcf5acee8daad2443c8d9331c09e,file,88
.gitignore,file,8411
1.py,file,1422
2.py,file,1889
3.py,file,1888
4.py,file,2324
5.py,file,1883
6.py,file,1785
7.py,file,1420
input.csv,file,80
input.txt,file,0
Lesson1.py,file,3314
output.csv,file,236
output.json,file,737
output.pickle,file,280
users.csv,file,80
users.json,file,146
users.pickle,file,207
